,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
3118898,10:09:51.754000,6,False,False,383,279,128329,1150,cam1
3118931,10:09:53.454000,6,False,False,374,116,21223,1405,cam0
3118953,10:09:54.452000,6,False,False,376,297,128329,975,cam1
3119007,10:09:57.257000,6,False,False,338,302,128518,922,cam1
3119025,10:09:58.181000,6,False,False,336,115,107820,1475,cam2
3119071,10:10:00.452000,6,False,False,398,290,128329,1073,cam1
3119146,10:10:03.949000,6,False,False,392,291,128329,1063,cam1
3119175,10:10:05.177000,6,False,False,336,115,107820,1467,cam2
3119239,10:10:09.254000,6,False,False,392,296,128329,996,cam1
3119267,10:10:11.256000,6,False,False,339,300,128518,942,cam1
3119270,10:10:11.449000,6,False,False,383,117,21223,1419,cam0
3119287,10:10:12.450000,6,False,False,299,108,21064,1469,cam0
3119340,10:10:15.951000,6,False,False,383,116,21223,1406,cam0
3119346,10:10:16.252000,6,False,False,339,299,128518,942,cam1
3119423,10:10:20.949000,6,False,False,394,286,128614,1090,cam1
3119441,10:10:22.247000,6,False,False,382,117,21223,1419,cam0
3119446,10:10:22.449000,6,False,False,340,301,128518,922,cam1
3119450,10:10:22.754000,6,False,False,381,116,21223,1425,cam0
3119613,10:10:31.950000,6,False,False,393,284,128614,1125,cam1
3119654,10:10:33.978000,6,False,False,338,300,128518,921,cam1
3119691,10:10:35.752000,6,False,False,382,118,21223,1425,cam0
3119707,10:10:36.678000,6,False,False,336,115,107828,1487,cam2
3119770,10:10:39.752000,6,False,False,297,114,21064,1468,cam0
3119780,10:10:40.250000,6,False,False,296,114,21064,1468,cam0
3119847,10:10:43.453000,6,False,False,382,119,21223,1419,cam0
3119854,10:10:43.953000,6,False,False,382,119,21223,1419,cam0
3119917,10:10:46.952000,6,False,False,382,118,21223,1419,cam0
3119973,10:10:49.485000,6,False,False,336,114,107828,1457,cam2
3120072,10:10:53.955000,6,False,False,299,112,21330,1480,cam0
3120121,10:10:56.254000,6,False,False,340,298,128518,922,cam1
3120138,10:10:56.950000,6,False,False,381,118,21223,1419,cam0
3120145,10:10:57.447000,6,False,False,389,285,128614,1099,cam1
3120162,10:10:58.251000,6,False,False,299,112,21330,1469,cam0
3120303,10:11:05.255000,6,False,False,298,112,21330,1469,cam0
3120329,10:11:06.480000,6,False,False,336,115,107828,1463,cam2
3120352,10:11:07.748000,6,False,False,381,118,21223,1419,cam0
3120432,10:11:11.450000,6,False,False,381,118,21223,1419,cam0
3120479,10:11:14.252000,6,False,False,333,288,128518,908,cam1
3120540,10:11:17.954000,6,False,False,381,117,21223,1419,cam0
3120551,10:11:18.751000,6,False,False,299,110,21330,1469,cam0
3120584,10:11:20.450000,6,False,False,388,287,128614,1081,cam1
3120639,10:11:23.447000,6,False,False,299,111,21330,1469,cam0
3120651,10:11:23.953000,6,False,False,145,300,128665,1013,cam1
3120685,10:11:25.751000,6,False,False,387,288,128614,1072,cam1
3120803,10:11:31.953000,6,False,False,299,111,21330,1469,cam0
3120844,10:11:34.249000,6,False,False,340,301,128518,922,cam1
3120928,10:11:39.254000,6,False,False,380,110,21223,1445,cam0
3120937,10:11:39.948000,6,False,False,299,110,21330,1457,cam0
3121122,10:11:49.985000,6,False,False,336,115,107849,1469,cam2
3121130,10:11:50.453000,6,False,False,337,296,128518,887,cam1
3121133,10:11:50.481000,6,False,False,336,115,107849,1469,cam2
3121413,10:12:03.747000,6,False,False,340,300,128518,867,cam1
3121414,10:12:03.747000,6,False,False,392,291,128614,1073,cam1
3121451,10:12:05.753000,6,False,False,340,299,128518,866,cam1
3121485,10:12:07.953000,6,False,False,339,299,128518,866,cam1
3121491,10:12:08.260000,6,False,False,391,290,128614,1073,cam1
3121581,10:12:14.454000,6,False,False,391,290,128614,1073,cam1
3121603,10:12:16.451000,6,False,False,298,115,21330,1468,cam0
3121614,10:12:17.183000,6,False,False,299,114,21330,1468,cam0
3121663,10:12:21.447000,6,False,False,298,114,21330,1468,cam0
3121812,10:12:33.755000,6,False,False,392,290,128614,1073,cam1
3121814,10:12:33.967000,6,False,False,392,290,128614,1073,cam1
3121851,10:12:36.975000,6,False,False,392,290,128614,1073,cam1
3121885,10:12:39.448000,6,False,False,393,289,128614,1073,cam1
3121955,10:12:43.748000,6,False,False,334,278,128518,863,cam1
3122025,10:12:47.706000,6,False,False,331,121,107853,1484,cam2
3122134,10:12:52.201000,6,False,False,334,116,107853,1497,cam2
3122139,10:12:52.454000,6,False,False,386,120,21376,1393,cam0
3122157,10:12:53.200000,6,False,False,206,174,107854,1789,cam2
3122220,10:12:56.205000,6,False,False,334,116,107853,1486,cam2
3122244,10:12:57.256000,6,False,False,299,111,21387,1469,cam0
3122249,10:12:57.509000,6,False,False,334,115,107853,1468,cam2
3122310,10:13:00.707000,6,False,False,334,115,107853,1480,cam2
3122334,10:13:01.753000,6,False,False,335,278,128518,863,cam1
3122460,10:13:08.210000,6,False,False,335,114,107853,1468,cam2
3122544,10:13:12.202000,6,False,False,336,115,107853,1469,cam2
3122680,10:13:18.511000,6,False,False,336,115,107853,1487,cam2
3122697,10:13:19.450000,6,False,False,390,290,128614,1063,cam1
3122707,10:13:20.205000,6,False,False,336,114,107853,1456,cam2
3122768,10:13:23.446000,6,False,False,375,102,21398,1446,cam0
3122797,10:13:24.749000,6,False,False,340,303,128518,922,cam1
3122800,10:13:24.952000,6,False,False,340,304,128518,923,cam1
3122832,10:13:26.452000,6,False,False,299,108,21387,1469,cam0
3122891,10:13:29.955000,6,False,False,341,301,128518,911,cam1
3122897,10:13:30.410000,6,False,False,339,109,107853,1428,cam2
3123012,10:13:37.510000,6,False,False,340,108,107853,1428,cam2
3123075,10:13:41.254000,6,False,False,295,110,21387,1480,cam0
3123188,10:13:48.002000,6,False,False,340,108,107853,1429,cam2
3123200,10:13:48.753000,6,False,False,340,298,128518,910,cam1
3123224,10:13:50.207000,6,False,False,340,108,107853,1429,cam2
3123248,10:13:51.447000,6,False,False,387,281,128614,1116,cam1
3123272,10:13:52.954000,6,False,False,335,303,128518,878,cam1
3123300,10:13:54.747000,6,False,False,397,300,128614,977,cam1
3123311,10:13:55.446000,6,False,False,297,106,21387,1441,cam0
3123320,10:13:55.912000,6,False,False,340,108,107853,1429,cam2
3123376,10:13:59.409000,6,False,False,340,108,107853,1429,cam2
3123399,10:14:00.756000,6,False,False,391,289,128614,1073,cam1
3123460,10:14:03.947000,6,False,False,341,301,128518,878,cam1
3123498,10:14:05.946000,6,False,False,340,300,128518,910,cam1
3123499,10:14:05.946000,6,False,False,391,287,128614,1081,cam1
3123542,10:14:08.007000,6,False,False,340,109,107853,1429,cam2
3123592,10:14:10.946000,6,False,False,375,102,21428,1452,cam0
3123601,10:14:11.449000,6,False,False,297,106,21387,1441,cam0
3123604,10:14:11.707000,6,False,False,340,108,107853,1429,cam2
3123699,10:14:18.951000,6,False,False,391,287,128614,1081,cam1
3123702,10:14:19.256000,6,False,False,298,106,21387,1458,cam0
3123775,10:14:23.702000,6,False,False,336,106,107853,1429,cam2
3123833,10:14:27.253000,6,False,False,339,296,128774,1023,cam1
